职位编号,职位名称,公司全称,公司简称,公司规模,所属领域,融资阶段,公司标签,职位类型,第二职位类型,技能标签,职位标签,发布时间,城市,区域,薪资,薪酬月数,工作经验,学历要求,职位福利,简历处理速度,职位描述,平均月薪
5951556,产品经理,爱客科技（深圳）有限公司,AfterShip,150-500人,电商,不需要融资,"['持续盈利', '国际龙头企业', 'SaaS平台', '极客氛围']",产品|需求|项目类,产品经理,"['需求分析', '产品设计']","['工具软件', '需求分析', '产品设计']",2020-10-04 16:50:23,深圳,南山区,15k-25k,14,3-5年,本科,"超牛团队,跨国团队,福利好,产品靓",100,"有关 AfterShip


2012 年成立于香港，公司自 2014 年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 700 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。


我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。


岗位职责


1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；
2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；
3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。


岗位要求


1、统招本科及以上学历，英语读写熟练；
2、两年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验；
3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；
4、良好的学习能力、理解能力和沟通能力，责任心强，积极好学。


加分项


1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；
2、熟悉敏捷开发 （Agile SCRUM) ，有技术背景；
3、熟悉使用 Sketch 或相关工具。


为什么加入我们


1、极客氛围: 拥抱开源技术，实践敏捷开发；
2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；
3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；
4、多元文化: 团队来自全球十几个国家；
5、头部企业: 海外驰名企业，细分领域领跑者；
6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",20.0
7545658,产品经理,天津量子时代网络科技有限公司,话本小说,15-50人,"移动互联网,文娱丨内容",A轮,"['扁平管理', '创业企业', '弹性工作', '平等文化']",产品|需求|项目类,产品经理,"['用户增长', '数据分析', '项目管理', '产品设计']","['移动互联网', '用户增长', '数据分析', '项目管理', '产品设计']",2020-10-04 16:06:06,北京,朝阳区,15k-20k,13,1-3年,本科,最大的00后图文对话小说社区,80,"【超强福利】 
1、公司附近租房，每月1500元租房补贴 
2、入职满一年后，每月提供司龄报销补贴，金额为司龄*1000元 
3、一周工作六天，周末算加班发双薪 
4、免费咖啡零食、全额上六险一金、不打卡、自行团建公司发补贴 

【岗位职责】
1、负责话本小说App的产品规划、需求挖掘、产品设计；
2、根据用户需求优化和管理现有产品、保证产品的快速更新迭代，在用户体验、产品结构逻辑、功能等多方面对产品进行把关；
3、协调各方资源，组织和推动产品的设计和开发上线流程；
4、关注&amp;分析竞品情况；关注&amp;研究行业模式，输出有价值的产品/功能规划；主动搜集&amp;整理&amp;分析用户反馈。

【职位要求】
1、一年以上互联网产品工作经验，具有文娱产品经验者优先；
2、本科及以上学历，具备很强的逻辑思维能力，规划能力；
3、出色的沟通、逻辑思维和资源协调能力，自我驱动导向。",17.5
7582034,产品经理,上海唯链信息科技有限公司,VeChain,50-150人,"移动互联网,信息安全",B轮,"['弹性工作', '五险一金', '老司机驾校', '年底N薪']",产品|需求|项目类,产品经理,"['产品设计', '结构设计', '需求分析', '数据分析']","['企业服务', '产品设计', '结构设计', '需求分析', '数据分析']",2020-10-04 16:07:26,上海,黄浦区,25k-35k,0,5-10年,本科,五险一金，工作餐，员工活动,83,"职责描述：  
1、结合区块链技术，研究数字化和SaaS行业市场发展，保持对行业的高度敏感，设计供应链领域的全球化创新模式；  
2、负责收集、调研、分析用户、市场、业务需求及痛点，优化产品功能，以提升用户体验，提高平台活跃；  
3、负责完成产品原型、流程和交互界面设计，编写完整的市场分析文档（MRD）、产品需求文档（PRD），协助开发团队理解和掌握需求。完成从产品设计、交付开发、正式上线到上线后产品推广运营的产品全过程。   

任职要求：  
1、5年以上工作经验，3年以上产品设计经验，负责过已上线的SaaS、BaaS或供应链管理类产品；  
2、具备优秀的业务敏感度、产品锐度和破局能力，能综合多业态的不同场景，抽象总结SAAS产品核心价值，进行整体规划和高效落地执行；  
3、熟练使用Axure等线框图设计软件，熟悉互联网产品设计和交互，能很好的表达产品设计与技术要求;  
4、具有较强的需求分析、产品规划，整体解决方案能力，能敏锐的挖掘产品功能与业务需求；  
5、拥有供应链平台产品设计经验者优先；
6、必须拥有流利的英语听说读写能力；
7、具有强烈的责任心和上进心，具备良好的团队合作精神，积极主动，能承受较大的工作压力。",30.0
6855628,高级产品经理,爱客科技（深圳）有限公司,AfterShip,150-500人,电商,不需要融资,"['持续盈利', '国际龙头企业', 'SaaS平台', '极客氛围']",产品|需求|项目类,产品经理,"['B端产品', 'SaaS']","['企业服务', '工具软件', 'B端产品', 'SaaS']",2020-10-04 16:50:24,深圳,南山区,25k-50k,14,5-10年,本科,全球项目、高薪资、高福利、国际团队,100,"有关 AfterShip


2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 700 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。


我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。


岗位职责


1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；
2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；
3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。


岗位要求


1、统招本科及以上学历，英语听说读写熟练；
2、五年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验，有海外项目实操经验；
3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；
4、熟悉敏捷开发（Agile SCRUM)，有团队管理经验者优先考虑。


加分项


1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；
2、有技术背景；
3、熟悉使用 Sketch 或相关工具。


为什么加入我们


1、极客氛围: 拥抱开源技术，实践敏捷开发；
2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；
3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；
4、多元文化: 团队来自全球十几个国家；
5、头部企业: 海外驰名企业，细分领域领跑者；
6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",37.5
6367424,产品经理,海深智能科技（上海）有限公司,海深科技,15-50人,"移动互联网,电商",A轮,"['年底双薪', '绩效奖金', '定期体检', '年度旅游']",产品|需求|项目类,产品经理,"['产品设计', '商业产品', '智能硬件', '产品策划']","['新零售', '移动互联网', '产品设计', '商业产品', '智能硬件', '产品策划']",2020-10-04 15:42:14,上海,浦东新区,12k-24k,0,1-3年,本科,年终多薪 项目奖金 期权鼓励 团队优秀,80,"岗位职责：
1.负责公司人工智能平台的前期规划、需求分析和产品设计。2.  数据管理系统设计，包括数据标注和数据服务3.  算法服务系统设计，2B业务模块设计任职资格：1.   本科以上学历，理工科背景优先。2.   1年以上SaaS产品经验，有数据平台类产品经验者优先。3.   熟悉产品设计实现流程，包括从需求分析到产品开发管理。4.   具有良好的逻辑思维与系统分析能力，注重细节。5.   具有良好的团队协作意识，较强的沟通能力，责任心强，抗压性强

公司介绍：
我们是一个做图像识别的人工智能公司，聚焦于新零售行业，主打产品基于计算机视觉的智能售货柜已经有众多的客户并占据市场主导。我们在深度学习领域有世界前沿性的研究成果，为京东，小红书，搜狗，百联集团等**企业提供技术服务。创始合伙人来自硅谷，核心技术团队来自国内外知名学府：清华，上海交大，佐治亚理工，宾夕法尼亚大学，并曾在Google, Yahoo!,  百度等互联网公司担任核心技术岗位。",18.0
7219559,产品经理,西岗区玉龙物资商行,玉龙商行,500-2000人,企业服务、金融,未融资,[],产品|需求|项目类,产品经理,[],"['银行', '支付']",2020-10-04 14:57:02,大连,中山区,7k-14k,0,3-5年,本科,双休～8.30--5下班～薪资5k以上,7,"岗位职责：
1.负责移动支付管理平台产品策划，针对B端（银行、渠道、商户）进行市场调研并进行分析，制定产品发展计划；
2.通过对平台功能的优化，支付流程的调整改进，不断提高业务流量，转化率，促进业务的发展；以及与新技术新模式的的深度融合；
3.关注行业动态及监管风向，跟进市场及时调整产品策略及保证产品服务合规；
4.跟踪并收集B/C端以及内部使用产品的反馈，转化为有效需求，并跟踪上线；提升对银行、渠道、商户的服务能力；每周保障上线2家银行；
5.组织建立并逐步完善业务数据分析系统，确定数据报表样式，建立日/周/月报制度，整理并定期向相关部门提供产品运营数据；对产品数据进行监控，分析产品运营效果、用户使用行为及需求，以便对产品进行持续性优化和改进；
6.建立产品文档库；编写产品对外、对内相关文档；并为公司相关部门、用户进行产品培训、产品演示；
配合上级领导交代的其他事情；
任职要求：
1、3年以上产品经验，具有移动支付、POS收单经验优先；
2、熟悉axure等设计工具及常用办公软件的使用，具备独立撰写产品需求文档的能力；
3、负责部门间的协调沟通，协助上级进行产品规划
4、清晰缜密的逻辑思维能力，较强的沟通能力和产品设计能力，独立完成支付产品规划及执行者优先；
5、优秀的团队合作能力，善于合作协调沟通，具有优秀的书面和口头表达能力；
6、强烈的责任心和上进心，充满活力，积极主动，能承受工作压力，有产品主人翁意识；",10.5
7773917,产品经理,成都拦服众合科技有限公司,拦服,15-50人,医疗丨健康、房产家居,未融资,[],产品|需求|项目类,产品经理,[],"['医疗健康', '房产服务']",2020-10-04 16:53:31,北京,朝阳区,35k-45k,0,3-5年,本科,创业合伙人、合伙人、产品总监、,0,"网约医疗护理服务app
1、负责医生端或后台管理产品流程设计文档、产品原型
2、根据网约医疗护理到家（新白领全球化高品质生活的一站式护理服务），组织总部层面的需求评估，包括：流程设计、远程会诊系统。
 
要求：
1、 相关产品有基本的了解。
2、 熟练使用Axure、viso等工具，能产出思路清晰的原型、PRD文案及业务流程；",40.0
7315514,后台产品经理,北京拉勾网络技术有限公司,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",产品|需求|项目类,产品经理,['后台产品'],"['企业服务', '招聘', '后台产品']",2020-09-30 16:42:19,北京,海淀区,20k-30k,0,3-5年,本科,拥有无限可能,74,"职位描述：
1、负责公司所有业务的后台产品设计，包含需求分析、产品规划、功能设计并推动落地；
2、抽象通用功能，为业务产品提供一站式的商业化支持；
3、确定业务对接流程和节奏，推动业务方接入中台通用能力；
4、关注行业领先的中台解决方案，并能应用于实践。

任职要求：
1、本科及以上学历，3年及以上中后台产品经验；
2、良好的结构化思维和抽象思维，可基于复杂的业务场景进行产品抽象和设计；
3、强烈的责任心和出色的沟通、协调能力，可以推动多方资源完成目标；
4、有passport、权限和组织架构、License体系、运营平台、消息中心、系统集成工作经验的优先。",25.0
7589426,产品经理,南京轩恩软件开发有限公司,轩恩软件,50-150人,"教育,数据服务",未融资,[],产品|需求|项目类,产品经理,"['需求分析', '竞品分析', '交互设计', '项目管理']","['需求分析', '竞品分析', '交互设计', '项目管理']",2020-10-04 14:15:52,南京,秦淮区,11k-17k,13,3-5年,本科,氛围、高薪、上升空间大,31,"职位描述
1、 把控所负责产品的方向目标，拟定优先级明确的版本规划，包括用户调研、需求分析、竞品分析、功能设计等；
2、 分析同行业竞品，找到差异化的产品发展策略，推动产品版本的快速迭代，持续更新和优化，给出明确的产品优化建议；
3、 负责产品的原创内容输出，构思各种有想象力和创造力的想法和创意，策划出不断吸引用户、增强用户粘性和兴趣的创意和产品设计思路；
4、 负责带领产品团队成员完成产品规划及实施工作，参与产品团队日常管理和团队建设工作；
 5、 负责协调研发和测试，确保产品的执行进度与质量，并对结果负责；
6、 承担部门销售业绩考核指标，接受公司和部门业绩考核；
7、 负责新产品规划及产品相关的售前支持工作。
任职资格：
1、 熟悉行业知识，了解市场需求; 对具体行业的业务模式、未来趋势有深入理解与独特思考，具备良好的业务敏感度和视野，能够敏锐的捕获产品机会和数据价值；
2、 想象力丰富，有创意、有激情，具有良好的逻辑思维能力、沟通表达能力、团队协作能力、学习能力与抗压能力，对新生事物有较高的敏感度和好奇心；
3、 认真负责,沟通能力强,执行力强；
4、 具有3年以上产品工作经验，2年以上产品经理工作经验，至少有3-5个成功案例;
周一至周五上班（上午9:00-12:00 下午13：00-18：00）；
按国家规定节假日放假，员工可享带薪婚假、产假、陪产假、年假、病假等；
五险一金正常缴纳；
薪资待遇优，根据工作表现，有机会享13-17薪。",14.0
7446976,产品经理,深圳市法本信息技术股份有限公司,法本信息,2000人以上,"企业服务,软件开发",上市公司,[],产品|需求|项目类,产品经理,"['B端产品', 'C端产品', '企业软件']","['工具软件', '金融', 'B端产品', 'C端产品', '企业软件']",2020-10-04 13:26:57,深圳,福田区,12k-17k,0,3-5年,本科,加班补贴 项目主流 下午茶团建,1,"1、3年以上产品工作经验，2年以上互联网产品经验，有完整的产品策划、产品迭代线上经历
2、熟练掌握通用产品工具，如Axure，viso，xmind等软件
3、有较强的沟通表达能力，对车板块产品感兴趣者优先
4、工作责任心强，能承受一定的工作压力",14.5
